Post_id,User_id,Title,Post_time,Replies,Views
926433,1736979,"Bitcoin vượt mốc 60.000 USD, tiến gần kỷ lục",2024-02-28T23:36:06+0700,623,78000
986421,2020115,[Cảnh báo] Tuyệt đối không liên hệ - giao dịch với trang web dịch vụ Subre365 của Nguyễn Xuân Phú chuyên lừa đảo và hack nick VOZ,2024-07-17T11:55:20+0700,0,2000
780221,268,"Nội quy box Tiền điện tử - Đọc kỹ trước khi hoạt động, vi phạm ban nick vĩnh viễn",2023-05-26T13:43:15+0700,0,6000
792751,1275125,Lúc này không múc Bitcoin còn đợi lúc nào???,2023-06-15T20:27:27+0700,88000,5000000
934397,1630609,"Tổng hợp kèo đào coin trên Telegram uy tín nhất hiện nay: Not, Hot, Time, XBlast, Ava,...",2024-03-17T16:20:34+0700,195,19000
1037855,1178427,Cà chua chính thức list sàn anh em cày vội kkk,2024-11-22T16:41:07+0700,12,458
1025659,1597269,Toggle Pro Treo Extension Nhẹ Siêu Siêu Sớm,2024-10-20T22:54:04+0700,6,2000
1039119,1178427,Nhận lương Bitget miễn phí - tranh thủ gom sớm - kiếm dòng tiền thụ động,2024-11-26T11:29:55+0700,4,151
1009977,1597269,Dự án Gradient Depin trên Sol Cài Extension Như Dawn,2024-09-13T00:29:41+0700,61,6000
1035133,1597269,PipeNetwork 1 dự án depin có Solana đầu tư và shill đáng cài extension như Gradient,2024-11-15T20:37:55+0700,7,785
1034166,1597269,BlessNetwork Depin Treo Extension Raise 8M Solana Mới Ra Nóng Hổi,2024-11-13T15:53:39+0700,2,679
1038016,1178427,Nhận thưởng tối thiểu 20 đô đến 220 đô - nhiệm vụ đơn giản đã rất nhiều ae nhận !,2024-11-23T09:16:00+0700,9,304
1039365,1178425,Hướng dẫn nhận lương trên Binance Airdrop miễn phí,2024-11-26T22:11:00+0700,2,80
1039404,1597269,"Vẫn còn sớm - Depin Dawn Extension Node Raise 18M Với Backer Dragonfly, Wintermute",2024-11-27T00:50:19+0700,1,52
954279,1178427,"Kèo không rủi ro, ăn chắc, cấp vốn 500k, lãi được rút không giới hạn",2024-04-29T16:18:03+0700,136,5000
1039064,1178425,Kèo đào coin 27/12 list 4 sàn lớn có thể có Binance - bào gấp anh em !,2024-11-26T09:43:10+0700,4,171
1039662,1178425,Kèo GOAT list Premarket Sàn Bitget - tranh thủ tháng 12 list,2024-11-27T15:56:00+0700,0,17
1037806,2016332,Tổng hợp các Airdrop treo máy siêu ngon - Tương tự như GRASS,2024-11-22T14:47:03+0700,8,294
1039517,2016332,"Hướng dẫn chạy node Functor Network, đã gọi vốn được 5,5 triệu USD",2024-11-27T10:22:02+0700,1,42
1035559,1143993,MeshChain Depin đối tác Binance vận hành. Húp 0.01 BNB đăng kí sớm,2024-11-17T02:44:50+0700,38,1000
1032256,831271,"Billion Cards - Game vừa ra mắt lúc 20h trên tele, vào sớm bú nào ae",2024-11-08T22:05:37+0700,66,2000
1018456,1774610,Hướng dẫn treo máy khai thác Gradient - giống kèo Grass,2024-10-03T16:53:12+0700,92,4000
1039599,1056790,Pepe Unchained: 17 Ngày Cuối Cùng Tham Gia ICO Meme Coin Lớn Nhất,2024-11-27T13:42:27+0700,0,31
1037692,2031770,"Kèo treo máy Kaisar ZeroNode, dự án DePIN siêu mới, có cơ chế nhận USDT",2024-11-22T10:11:29+0700,4,163
1039597,2031770,Kèo telegram rút tiền tươi Agent 301,2024-11-27T13:40:16+0700,0,38
1034844,147449,"Ví trả sau Momo + TPBank chơi c-h-ó, chơi nó lại có vấn đề j với tín dụng ko?",2024-11-15T09:37:56+0700,1,224
1017500,1597269,Testnet Humanity Protocol Raise 30M - Hàng Xịn Nên Làm Săn Airdrop,2024-10-01T11:14:33+0700,5,2000
1015119,1597269,Còn Rất Mới - Teneo Protocol Cài Extension Chạy Node Earn Reward,2024-09-25T15:41:00+0700,26,3000
1003435,1630609,"[UY TÍN] Tổng hợp các kèo thuộc ICE NETWORK cực kỳ uy tín: Sunwave, Sauce, Seal, Call,...",2024-08-27T19:39:01+0700,9,456
1039481,1044206,Kèo AI Agents Talus - Dự án gọi vốn 6 triệu đô từ Polychain Capital,2024-11-27T09:24:44+0700,2,47
995608,1545861,Kèo Airdrop BlockMesh Network (treo máy giống Grass),2024-08-09T07:38:20+0700,66,4000
1034394,1044206,Săn Airdrop Dự Án DePIN Bless Network,2024-11-14T09:28:59+0700,53,2000
1028873,1306784,"5 con hàng DePIN ngon nhất hiện nay, treo máy rảnh tay rất dễ làm.",2024-10-31T08:45:23+0700,17,1000
1033625,1044206,(Update) Nodepay vừa mở kết nối ví Solana.,2024-11-12T15:35:02+0700,21,758
1028529,1044206,"#Grass vẫn chưa kết thúc, tiếp tục giai đoạn 2 (Airdrop Stage 2)",2024-10-30T10:34:54+0700,104,4000
1029733,1056435,[GRASS] GRASS thông báo airdrop season 2 diễn ra trong 1 tháng (14/10-14/11),2024-11-02T13:20:37+0700,61,4000
1021820,556633,"DAWN: kèo gọi vốn 33 triệu đô, chỉ treo extension, ngon gấp 6,9 lần Grass",2024-10-11T15:10:34+0700,57,3000
